Palas,Precio,Marca,Color,Producto,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Acabado,Forma,Superficie,Tipo de Juego,Jugador
BABOLAT AIR VIPER 2024,"254,95 €",babolat,azul,palas,alto,multieva,No data,media,avanzado / competición,No data,No data,rugosa,potencia,hombre
BLACK CROWN WOLF,"71,95 €",black crown,"negro, amarillo",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,No data,lisa,control,hombre
SIUX ELECTRA ST2 CONTROL RACKET,"139,95 €",siux,"negro, azul",palas,bajo,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,control,hombre
WILSON BELA PRO PADEL 2,"149,96 €",wilson,"negro, rojo",palas,alto,hard eva,No data,No data,"avanzado / competición, profesional",No data,diamante,rugosa,No data,"hombre, mujer"
HEAD CHALLENGE AZUL VERDE,"61,95 €",head,"negro, azul, verde",palas,medio,foam,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
NOX AT10 GENIUS 12K BY AGUSTÍN TAPIA EX,"149,95 €",nox,No data,No data,alto,eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
HEAD CALIBRE ROSA,"59,95 €",head,"negro, rosa",palas,medio,foam,fibra de vidrio,No data,principiante / intermedio,No data,lágrima,lisa,No data,mujer
DUNLOP TITAN KILLER 2.0 2024,"89,95 €",dunlop,azul,palas,alto,No data,fibra de vidrio,media,avanzado / competición,No data,No data,lisa,potencia,hombre
SIUX PEGASUS REVOLUTION 12K,"129,95 €",siux,negro,palas,medio,soft eva,No data,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
HEAD GRAPHENE 360 ALPHA CONTROL,"119,95 €",head,"negro, gris, naranja",palas,medio,foam,No data,No data,avanzado / competición,mate,lágrima,lisa,polivalente,"hombre, mujer"
HEAD SPEED PRO X 2023,"213,95 €",head,"negro, azul",palas,alto,foam,No data,No data,avanzado / competición,mate,lágrima,lisa,potencia,hombre
NOX AT10 GENIUS 12K AGUSTIN TAPIA 2024,"188,95 €",nox,negro,palas,medio,black eva,No data,dura,avanzado / competición,No data,lágrima,rugosa,polivalente,"hombre, mujer"
NOX PACK AT GENIUS LIMITED EDITION 2024,"229,95 €",nox,negro,palas,medio,black eva,No data,dura,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
SIUX VIKING III,"44,95 €",siux,"negro, verde",palas,"alto, medio",supersoft eva,fibra de vidrio,No data,principiante / intermedio,mate,diamante,lisa,No data,hombre
NOX AT GENIUS ATTACK 18K AGUSTÍN TAPIA 2024,"155,95 €",nox,negro,palas,alto,black eva,No data,dura,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
NOX AT10 GENIUS 18K BY AGUSTIN TAPIA EX,"149,95 €",nox,rojo,No data,medio,black eva hr3,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
NOX ML10 PRO CUP ULTRALIGHT 23,"89,95 €",nox,"blanco, gold",palas,bajo,eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,lisa,control,"hombre, mujer"
HEAD GRAPHENE 360 ALPHA TOUR,"84,95 €",head,"negro, lima",palas,bajo,foam,No data,No data,avanzado / competición,No data,lágrima,lisa,No data,"hombre, mujer"
HEAD GRAVITY MOTION 2022,"103,95 €",head,"negro, azul, rosa",palas,"medio, bajo",foam,fibra de vidrio,No data,avanzado / competición,mate,redonda,rugosa,No data,"hombre, mujer"
BULLPADEL VERTEX 04,"49,95 €",bullpadel,"blanco, azul",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,lisa,control,mujer
BULLPADEL INDIGA W MUJER 2023,"194,95 €",bullpadel,"negro, rojo",palas,alto,multieva,No data,dura,avanzado / competición,No data,diamante,rugosa,potencia,hombre
SIUX SX GOLD,"55,95 €",siux,"negro, gold",palas,"medio, bajo",soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,lágrima,lisa,polivalente,"hombre, mujer"
HEAD SPEED ELITE 2023,"108,95 €",head,"negro, marrón",palas,alto,foam,fibra de vidrio,No data,avanzado / competición,mate,lágrima,lisa,potencia,"hombre, mujer"
SIUX TRILOGY 3 CONTROL RACKET,"118,95 €",siux,rojo,palas,bajo,soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,control,hombre
HEAD GRAPHENE 360+ ALPHA TOUR,"104,95 €",head,negro,palas,alto,foam,No data,media,avanzado / competición,No data,diamante,lisa,potencia,hombre
BULLPADEL HACK 03 24,"188,95 €",bullpadel,negro,palas,alto,multieva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
BULLPADEL BUKET X SERIES,"64,95 €",bullpadel,"negro, gris",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
BLACK CROWN HURRICANE 2.0 2023,"200,00 €",black crown,"gris, rosa",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,polivalente,mujer
BULLPADEL PEARL BEA GONZALEZ 2024,"277,99 €",bullpadel,No data,palas,alto,multieva,No data,media,profesional,No data,diamante,rugosa,polivalente,mujer
ADIDAS RX SERIES LIGHT 2024,"81,95 €",adidas,"negro, rosa",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,mujer
BULLPADEL VERTEX W JR 24,"59,95 €",wilson,"negro, verde",palas,"alto, medio",soft eva,fibra de vidrio,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
WILSON BLADE TEAM V2 BLACK,"47,95 €",bullpadel,azul,palas,alto,No data,fibra de vidrio,media,avanzado / competición,No data,diamante,lisa,potencia,junior
HEAD RADICAL PRO 2024,"188,95 €",black crown,rosa,palas,bajo,eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,control,mujer
BLACK CROWN PITON FURIA 2023,"89,95 €",head,No data,palas,medio,foam,No data,No data,profesional,No data,lágrima,lisa,polivalente,hombre
WILSON BLADE JUNIOR V2,"44,95 €",wilson,"negro, verde",palas,medio,medium eva,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,No data,junior
DUNLOP NEMESIS CARBON CONTROL,"123,95 €",dunlop,"negro, verde",palas,bajo,soft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
BABOLAT AIR VERON 2024,"191,95 €",babolat,negro,palas,medio,eva,No data,No data,avanzado / competición,No data,No data,rugosa,polivalente,hombre
BLACK CROWN PITON JUNIOR,"50,95 €",black crown,"negro, gold",palas,bajo,medium eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,lisa,No data,junior
WILSON ULTRA LT V2 PADEL 2,"114,95 €",wilson,"negro, azul",palas,alto,soft eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
ADIDAS RX SERIES LIME 2024,"69,95 €",adidas,"negro, amarillo",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,control,hombre
NOX ML10 SHOTGUN 18K LUXURY SERIES 2024,"159,95 €",nox,"negro, rojo",palas,medio,black eva,No data,media,avanzado / competición,No data,diamante,rugosa,polivalente,hombre
SIUX FENIX LITE 4,"229,00 €",siux,"negro, verde",palas,bajo,soft eva,No data,"media, blanda",principiante / intermedio,No data,redonda,rugosa,control,hombre
SIUX TRILOGY LITE AIR 4,"229,00 €",siux,negro,palas,alto,hard eva,No data,dura,avanzado / competición,"mate, relieve 3d",diamante,rugosa,potencia,hombre
PALA VARLION LW CARBON 5 GP NEGRO,"170,95 €",varlion,negro,palas,medio,eva,No data,media,profesional,mate,redonda,lisa,polivalente,hombre
SIUX BEAT KID,"68,99 €",siux,"amarillo, azul",No data,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,No data,control,junior
SIUX TRILOGY 4 CONTROL LITE AIR W,"229,00 €",siux,No data,No data,bajo,soft eva,No data,media,principiante / intermedio,No data,redonda,rugosa,control,mujer
SIUX BEAT HYBRID,"79,00 €",siux,No data,palas,medio,soft eva,fibra de vidrio,media,principiante / intermedio,No data,No data,No data,polivalente,hombre
BLACK CROWN SHARK,"67,95 €",black crown,"negro, azul",palas,medio,soft eva,fibra de vidrio,media,principiante / intermedio,No data,lágrima,rugosa,polivalente,hombre
STARVIE TITANIA KEPLER 2.0 2023,"107,95 €",No data,"negro, azul, rojo",palas,bajo,soft eva,No data,No data,avanzado / competición,mate,redonda,rugosa,control,"hombre, mujer"
BULLPADEL HACK 03 JR 2024,"59,95 €",bullpadel,plateado,palas,medio,eva,fibra de vidrio,No data,avanzado / competición,No data,diamante,lisa,polivalente,junior
HEAD EXTREME ELITE 2023,"134,95 €",head,verde,palas,alto,foam,fibra de vidrio,media,principiante / intermedio,No data,diamante,lisa,potencia,"hombre, mujer"
BABOLAT AIR VERTUO 2023,"127,95 €",babolat,"azul, rojo",palas,medio,black eva,fibra de vidrio,No data,avanzado / competición,No data,No data,rugosa,polivalente,hombre
SIUX EVOQUE 3 AIR,"74,95 €",siux,"negro, rosa",palas,medio,ultrasoft eva,No data,blanda,principiante / intermedio,No data,No data,lisa,polivalente,mujer
HEAD ULTIMATE POWER II WITH CB NARANJA,"74,95 €",head,"negro, amarillo, naranja",palas,medio,eva,No data,No data,avanzado / competición,mate,No data,lisa,polivalente,hombre
BLACK CROWN PITON 9.0,"94,95 €",black crown,"negro, plateado",palas,medio,black eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
NOX SILHOUTTE CASUAL SERIES 23,"72,95 €",nox,"negro, fucsia",palas,bajo,medium eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,potencia,mujer
BULLPADEL VERTEX 04 W,"149,95 €",bullpadel,blanco,palas,alto,multieva,No data,media,profesional,No data,diamante,rugosa,polivalente,mujer
WILSON BELA ELITE V2 ROJO,"152,95 €",wilson,rojo,palas,alto,soft eva,No data,No data,avanzado / competición,mate,diamante,rugosa,potencia,"hombre, mujer"
WILSON CUPRA PADEL V2 2,"189,95 €",wilson,negro,palas,alto,eva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
NOX AT10 GENIUS BY AGUSTIN TAPIA JUNIOR 23,"54,95 €",nox,"negro, blanco, rojo",palas,bajo,eva,fibra de vidrio,No data,avanzado / competición,mate,lágrima,lisa,control,junior
DUNLOP IMPACT PRO HL YELLOW,"59,95 €",dunlop,"negro, amarillo, azul",palas,medio,medium eva,fibra de vidrio,No data,avanzado / competición,mate,No data,lisa,No data,"hombre, mujer"
DUNLOP SKIN CONTROL SOFT,"59,95 €",dunlop,"negro, rosa",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
BABOLAT COUNTER VERTUO 2023,"127,95 €",babolat,"negro, amarillo",palas,bajo,black eva,fibra de vidrio,No data,principiante / intermedio,No data,No data,rugosa,control,hombre
NOX AT10 GENIUS ULTRALIGHT 23,"64,95 €",nox,"negro, blanco, verde",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,No data,lágrima,lisa,polivalente,"hombre, mujer"
HEAD ULTIMATE POWER GREEN WITH CB,"69,95 €",head,"negro, verde",palas,medio,eva,No data,No data,avanzado / competición,mate,lágrima,rugosa,polivalente,hombre
PALA SIUX TRILOGY II CONTROL PATTY PRO,"115,00 €",siux,"negro, verde",palas,bajo,eva,No data,No data,profesional,mate,redonda,lisa,control,mujer
BULLPADEL INDIGA PWR 2024,"51,95 €",bullpadel,"blanco, rojo",palas,alto,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,diamante,lisa,potencia,"hombre, mujer"
BULLPADEL HACK 02,"129,95 €",bullpadel,"negro, verde",palas,alto,eva,No data,dura,avanzado / competición,mate,diamante,lisa,potencia,hombre
BLACK CROWN PITON,"104,95 €",black crown,"negro, gold",palas,bajo,medium eva,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
WILSON ULTRA PRO V2,"108,95 €",wilson,"negro, azul",palas,alto,hard eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,hombre
BABOLAT TECHNICAL VERTUO 2023,"127,95 €",babolat,"amarillo, rojo",palas,alto,black eva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,hombre
HEAD ULTIMATE POWER II WITH CB AMARILLO VERDE,"74,95 €",head,"negro, amarillo, verde",palas,medio,eva,No data,No data,avanzado / competición,mate,No data,lisa,polivalente,hombre
BULLPADEL FLOW LIGHT MUJER 2024,"69,95 €",bullpadel,"naranja, azul",palas,bajo,eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,control,mujer
NOX X-ONE EVO RED,"64,95 €",nox,"negro, rojo",palas,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,redonda,lisa,polivalente,"hombre, mujer"
DUNLOP SKIN ATTACK SOFT,"59,95 €",dunlop,"negro, amarillo, gris",palas,alto,ultrasoft eva,No data,No data,principiante / intermedio,mate,diamante,lisa,No data,"hombre, mujer"
BULLPADEL VERTEX 04 HYBRID,"194,95 €",bullpadel,"negro, rojo",palas,bajo,multieva,No data,media,profesional,No data,No data,rugosa,control,hombre
SIUX RAVEN 18K CONTROL,"114,95 €",siux,"negro, azul",palas,medio,soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
DUNLOP IMPACT HL RED,"49,95 €",dunlop,"negro, rojo",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
BLACK CROWN PITON 2.0,"99,95 €",black crown,"negro, plateado",palas,bajo,hard eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
NOX ML10 PRO CUP SILVER 2023,"129,95 €",nox,"blanco, plateado, rosa",palas,bajo,eva,fibra de vidrio,No data,profesional,No data,redonda,lisa,control,mujer
BULLPADEL INDIGA CTR 2024,"49,95 €",bullpadel,"negro, verde",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,control,"hombre, mujer"
HEAD GRAPHENE TOUCH EXPLOSION,"94,95 €",head,"negro, amarillo, rojo",palas,medio,eva,No data,No data,avanzado / competición,mate,lágrima,lisa,polivalente,hombre
SIUX DIABLO REVOLUTION PRO 3,"295,00 €",siux,"negro, rojo",palas,medio,eva,No data,media,avanzado / competición,No data,No data,rugosa,polivalente,hombre
DUNLOP IMPACT PRO HL GREEN,"59,95 €",dunlop,"negro, azul, verde",palas,medio,medium eva,fibra de vidrio,No data,avanzado / competición,mate,No data,lisa,No data,"hombre, mujer"
BABOLAT TECHNICAL VERTUO JUAN LEBRON 2024,"159,95 €",bullpadel,rojo,palas,alto,multieva,"carbono, fibra de vidrio",media,avanzado / competición,No data,diamante,rugosa,potencia,hombre
BULLPADEL IONIC POWER 24,"122,95 €",babolat,"negro, blanco, rojo",palas,alto,eva,No data,media,profesional,No data,diamante,rugosa,potencia,hombre
BULLPADEL BRAVE 3.0,"74,95 €",bullpadel,"amarillo, gris",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
ADIDAS METALBONE HRD+ 2024,"350,95 €",adidas,"negro, blanco",palas,alto,hard eva,No data,dura,avanzado / competición,No data,diamante,No data,potencia,hombre
RS RIALTO PRO CAYETANO ROCAFORT,"305,95 €",No data,negro,No data,medio,eva,No data,blanda,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
SIUX SX7 AIR,"59,95 €",siux,"negro, morado",palas,bajo,ultrasoft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,No data,mujer
ADIDAS CROSS IT 2024,"225,95 €",adidas,naranja,palas,alto,hard eva,No data,dura,profesional,No data,diamante,rugosa,potencia,hombre
HEAD GRAPHENE XT MASTER LTD WITH CB,"179,95 €",head,"negro, blanco",palas,bajo,foam,No data,media,avanzado / competición,mate,redonda,rugosa,control,"hombre, mujer"
ADIDAS ADIPOWER LEGEND 2024,"186,95 €",adidas,No data,palas,alto,soft eva,No data,blanda,avanzado / competición,No data,diamante,rugosa,potencia,hombre
SIUX IMPACT,"79,95 €",siux,"negro, azul",palas,medio,ultrasoft eva,No data,No data,principiante / intermedio,No data,redonda,rugosa,No data,"hombre, mujer"
NOX ML10 PRO CUP SURVIVOR,"113,95 €",nox,"negro, verde",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
NOX ML10 PRO CUP 3K LUXURY SERIES 2024,"168,95 €",nox,"negro, blanco, rojo",palas,medio,black eva,No data,media,avanzado / competición,No data,redonda,rugosa,control,hombre
SOFTEE BASICA INICIACION,"4,95 €",softee,amarillo,palas,principiante / intermedio,No data,No data,No data,principiante / intermedio,mate,No data,lisa,No data,"hombre, mujer"
WILSON BELA PRO V2,"217,95 €",wilson,rojo,palas,medio,eva,No data,No data,avanzado / competición,mate,diamante,rugosa,polivalente,"hombre, mujer"
BULLPADEL HACK 03 COMFORT 24,"145,99 €",bullpadel,negro,palas,alto,multieva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
HEAD ALPHA JUNIOR SANYO,"52,95 €",head,"negro, blanco",palas,medio,foam,No data,No data,principiante / intermedio,No data,lágrima,lisa,No data,"hombre, mujer"
SIUX PEGASUS GRAFENO 1K,"149,95 €",siux,"negro, gris",palas,"alto, medio",soft eva,No data,blanda,avanzado / competición,No data,lágrima,lisa,polivalente,hombre
SIUX SNAKE WOMAN,"99,95 €",siux,"negro, blanco",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,No data,lisa,No data,mujer
BLACK CROWN HURRICANE PRO 2.0 2023,"181,95 €",black crown,"gris, rosa",palas,alto,soft eva,No data,No data,avanzado / competición,No data,redonda,lisa,potencia,mujer
VIBOR-A LIQUID YARARA,"129,95 €",vibor-a,"negro, gold",palas,medio,black eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
BABOLAT CONTACT 2022,"71,95 €",babolat,"azul, rojo",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,polivalente,"hombre, mujer"
WILSON BLADE TEAM V2,"39,95 €",wilson,"negro, verde",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
DUNLOP TITAN 2.0 PINK,"89,95 €",dunlop,No data,palas,medio,No data,fibra de vidrio,media,avanzado / competición,mate,No data,lisa,polivalente,mujer
ADIDAS METALBONE TEAM LIGHT 3.3 2024,"169,95 €",adidas,"negro, azul",palas,bajo,black eva,fibra de vidrio,blanda,avanzado / competición,No data,redonda,rugosa,control,hombre
ADIDAS ADIPOWER CTRL TEAM 3.3,"109,95 €",adidas,naranja,palas,bajo,soft eva,fibra de vidrio,media,avanzado / competición,No data,redonda,lisa,control,hombre
SIUX RAVEN 3K HYBRID,"99,95 €",siux,"negro, verde",palas,medio,soft eva,No data,No data,avanzado / competición,No data,No data,lisa,No data,"hombre, mujer"
HEAD EXTREME PRO ARTURO COELLO 2024,"320,00 €",head,No data,palas,alto,foam,"carbono, fibra de vidrio",media,avanzado / competición,No data,diamante,rugosa,potencia,hombre
BLACK CROWN PITON ATTACK 16K 2023,"129,95 €",black crown,"negro, naranja",palas,alto,soft eva,No data,media,avanzado / competición,mate,lágrima,rugosa,potencia,hombre
ENEBE MASSIVE 21,"84,95 €",enebe,"negro, rojo",palas,alto,black eva,No data,No data,avanzado / competición,No data,diamante,lisa,No data,"hombre, mujer"
HEAD RADICAL MOTION 2024,"164,95 €",head,rojo,palas,medio,No data,No data,No data,avanzado / competición,No data,lágrima,No data,polivalente,hombre
VARLION LW HEXAGON 8.8 WOMAN,"52,95 €",varlion,"negro, rosa",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,mujer
ADIDAS DRIVE LIGHT 3.3,"59,95 €",adidas,"negro, blanco, azul",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,control,mujer
DUNLOP INFINITY PRO G1 HL BLACK,"94,95 €",dunlop,negro,palas,medio,medium eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
VARLION LW CARBON TI,"65,95 €",varlion,"negro, morado",palas,bajo,ultrasoft eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
HEAD GRAVITY ELITE 2022,"89,95 €",head,"gris, morado",palas,bajo,foam,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
VIBOR-A SERPENT ADVANCE 2022,"75,95 €",vibor-a,"negro, verde",palas,medio,ultrasoft eva,fibra de vidrio,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
ENEBE MASSIVE 22,"103,95 €",enebe,"negro, rojo",palas,alto,ultrasoft eva,No data,No data,avanzado / competición,mate,diamante,lisa,No data,"hombre, mujer"
RS PADEL PRIME EDITION 2.0 BLANCO MUJER,"188,95 €",No data,"blanco, gold",palas,medio,medium eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,mujer
HEAD FLASH PRO,"125,95 €",head,No data,palas,medio,soft eva,fibra de vidrio,blanda,avanzado / competición,mate,lágrima,lisa,polivalente,hombre
KOMBAT MM3 PRO 2024,"125,00 €",No data,blanco,palas,medio,black eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
BULLPADEL HACK 03 2023,"159,95 €",bullpadel,"negro, plateado",palas,alto,eva,No data,No data,avanzado / competición,mate,diamante,lisa,potencia,"hombre, mujer"
BABOLAT TECHNICAL VIPER LEBRON 2023,"159,95 €",babolat,"negro, azul, rojo",palas,alto,eva,No data,dura,profesional,No data,diamante,rugosa,potencia,hombre
NOX AT10 GENIUS 12K BY AGUSTIN TAPIA 23,"179,95 €",nox,"negro, verde",palas,alto,eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,polivalente,"hombre, mujer"
BULLPADEL VERTEX 03 2023,"169,95 €",bullpadel,"negro, gold, naranja",palas,alto,eva,No data,No data,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
SIUX DIABLO REVOLUTION II SANYO PRO RACKET,"159,95 €",siux,"blanco, gris",palas,medio,soft eva,No data,media,"avanzado / competición, profesional",No data,No data,lisa,polivalente,hombre
BABOLAT AIR VIPER 2022,"148,95 €",babolat,"negro, blanco, azul",palas,medio,medium eva,No data,No data,"avanzado / competición, profesional",No data,lágrima,rugosa,No data,hombre
PACK PALA BULLPADEL VERTEX 2 LTD MUJER,"110,95 €",bullpadel,No data,palas,medio,eva,No data,media,avanzado / competición,mate,diamante,rugosa,potencia,mujer
BULLPADEL VERTEX 03 CTR 2023,"155,95 €",bullpadel,"negro, amarillo",palas,bajo,eva,No data,No data,avanzado / competición,No data,redonda,rugosa,control,"hombre, mujer"
NOX AT10 GENIUS 18K AGUSTIN TAPIA 2024,"209,95 €",nox,blanco,palas,medio,black eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,"hombre, mujer"
BABOLAT TECHNICAL VERON 2023,"125,95 €",babolat,"negro, rojo",palas,alto,black eva,"carbono, fibra de vidrio",media,avanzado / competición,mate,diamante,rugosa,potencia,"hombre, mujer"
HEAD GRAPHENE 360 DELTA GOLD,"89,95 €",head,"negro, gold",palas,alto,foam,fibra de vidrio,No data,avanzado / competición,mate,diamante,lisa,No data,"hombre, mujer"
BULLPADEL VERTEX 03 W MUJER 2023,"109,95 €",bullpadel,"blanco, azul, rosa",palas,alto,eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,diamante,rugosa,potencia,mujer
