Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador
VARLION BOURNE CARBON 2 PRISMA,127.95,varlion,"negro, gris, rosa",No data,medium eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
DUNLOP AERO-STAR LITE,150.95,dunlop,No data,alto,medium eva,No data,dura,principiante,diamante,rugosa,potencia,hombre
DUNLOP NEMESIS CARBON,123.95,dunlop,"negro, rojo",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BABOLAT AIR VIPER 2024,254.95,babolat,azul,alto,medium eva,No data,media,avanzado,No data,rugosa,potencia,hombre
BLACK CROWN WOLF,71.95,black crown,"negro, amarillo",bajo,soft eva,fibra de vidrio,blanda,principiante,No data,lisa,control,hombre
SIUX ELECTRA ST2 CONTROL RACKET,139.95,siux,"negro, azul",bajo,soft eva,No data,blanda,avanzado,redonda,rugosa,control,hombre
WILSON BELA PRO PADEL 2,149.96,wilson,"negro, rojo",alto,hard eva,No data,No data,pro,diamante,rugosa,No data,mixta
HEAD CHALLENGE AZUL VERDE,61.95,head,"negro, azul, verde",medio,foam,fibra de vidrio,No data,principiante,lágrima,lisa,No data,mixta
NOX AT10 GENIUS 12K BY AGUSTÍN TAPIA EX,149.95,nox,No data,alto,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
HEAD CALIBRE ROSA,59.95,head,"negro, rosa",medio,foam,fibra de vidrio,No data,principiante,lágrima,lisa,No data,mujer
DUNLOP TITAN KILLER 2.0 2024,89.95,dunlop,azul,alto,No data,fibra de vidrio,media,avanzado,No data,lisa,potencia,hombre
SIUX PEGASUS REVOLUTION 12K,129.95,siux,negro,medio,soft eva,No data,media,avanzado,No data,lisa,polivalente,hombre
HEAD GRAPHENE 360 ALPHA CONTROL,119.95,head,"negro, gris, naranja",medio,foam,No data,No data,avanzado,lágrima,lisa,polivalente,mixta
HEAD SPEED PRO X 2023,213.95,head,"negro, azul",alto,foam,No data,No data,avanzado,lágrima,lisa,potencia,hombre
NOX AT10 GENIUS 12K AGUSTIN TAPIA 2024,188.95,nox,negro,medio,medium eva,No data,dura,avanzado,lágrima,rugosa,polivalente,mixta
NOX PACK AT GENIUS LIMITED EDITION 2024,229.95,nox,negro,medio,medium eva,No data,dura,avanzado,lágrima,rugosa,polivalente,hombre
SIUX VIKING III,44.95,siux,"negro, verde",No data,soft eva,fibra de vidrio,No data,principiante,diamante,lisa,No data,hombre
NOX AT GENIUS ATTACK 18K AGUSTÍN TAPIA 2024,155.95,nox,negro,alto,medium eva,No data,dura,avanzado,diamante,rugosa,potencia,mixta
NOX AT10 GENIUS 18K BY AGUSTIN TAPIA EX,149.95,nox,rojo,medio,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
NOX ML10 PRO CUP ULTRALIGHT 23,89.95,nox,"blanco, gold",bajo,medium eva,fibra de vidrio,No data,principiante,redonda,lisa,control,mixta
HEAD GRAPHENE 360 ALPHA TOUR,84.95,head,"negro, lima",bajo,foam,No data,No data,avanzado,lágrima,lisa,No data,mixta
HEAD GRAVITY MOTION 2022,103.95,head,"negro, azul, rosa",No data,foam,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
BULLPADEL VERTEX 04,49.95,bullpadel,"blanco, azul",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,control,mujer
BULLPADEL INDIGA W MUJER 2023,194.95,bullpadel,"negro, rojo",alto,medium eva,No data,dura,avanzado,diamante,rugosa,potencia,hombre
SIUX SX GOLD,55.95,siux,"negro, gold",No data,soft eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,mixta
HEAD SPEED ELITE 2023,108.95,head,"negro, marrón",alto,foam,fibra de vidrio,No data,avanzado,lágrima,lisa,potencia,mixta
SIUX TRILOGY 3 CONTROL RACKET,118.95,siux,rojo,bajo,soft eva,No data,No data,avanzado,redonda,lisa,control,hombre
HEAD GRAPHENE 360+ ALPHA TOUR,104.95,head,negro,alto,foam,No data,media,avanzado,diamante,lisa,potencia,hombre
BULLPADEL HACK 03 24,188.95,bullpadel,negro,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,mixta
BULLPADEL BUKET X SERIES,64.95,bullpadel,"negro, gris",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
BLACK CROWN HURRICANE 2.0 2023,200.0,black crown,"gris, rosa",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,polivalente,mujer
BULLPADEL PEARL BEA GONZALEZ 2024,277.99,bullpadel,No data,alto,medium eva,No data,media,pro,diamante,rugosa,polivalente,mujer
ADIDAS RX SERIES LIGHT 2024,81.95,adidas,"negro, rosa",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,mujer
BULLPADEL VERTEX W JR 24,59.95,wilson,"negro, verde",No data,soft eva,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
HEAD RADICAL PRO 2024,188.95,black crown,rosa,bajo,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,control,mujer
BLACK CROWN PITON FURIA 2023,89.95,head,No data,medio,foam,No data,No data,pro,lágrima,lisa,polivalente,hombre
DUNLOP NEMESIS CARBON CONTROL,123.95,dunlop,"negro, verde",bajo,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
BABOLAT AIR VERON 2024,191.95,babolat,negro,medio,medium eva,No data,No data,avanzado,No data,rugosa,polivalente,hombre
WILSON ULTRA LT V2 PADEL 2,114.95,wilson,"negro, azul",alto,soft eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
ADIDAS RX SERIES LIME 2024,69.95,adidas,"negro, amarillo",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,hombre
NOX ML10 SHOTGUN 18K LUXURY SERIES 2024,159.95,nox,"negro, rojo",medio,medium eva,No data,media,avanzado,diamante,rugosa,polivalente,hombre
SIUX FENIX LITE 4,229.0,siux,"negro, verde",bajo,soft eva,No data,blanda,principiante,redonda,rugosa,control,hombre
SIUX TRILOGY LITE AIR 4,229.0,siux,negro,alto,hard eva,No data,dura,avanzado,diamante,rugosa,potencia,hombre
PALA VARLION LW CARBON 5 GP NEGRO,170.95,varlion,negro,medio,medium eva,No data,media,pro,redonda,lisa,polivalente,hombre
SIUX TRILOGY 4 CONTROL LITE AIR W,229.0,siux,No data,bajo,soft eva,No data,media,principiante,redonda,rugosa,control,mujer
SIUX BEAT HYBRID,79.0,siux,No data,medio,soft eva,fibra de vidrio,media,principiante,No data,No data,polivalente,hombre
BLACK CROWN SHARK,67.95,black crown,"negro, azul",medio,soft eva,fibra de vidrio,media,principiante,lágrima,rugosa,polivalente,hombre
STARVIE TITANIA KEPLER 2.0 2023,107.95,No data,"negro, azul, rojo",bajo,soft eva,No data,No data,avanzado,redonda,rugosa,control,mixta
HEAD EXTREME ELITE 2023,134.95,head,verde,alto,foam,fibra de vidrio,media,principiante,diamante,lisa,potencia,mixta
BABOLAT AIR VERTUO 2023,127.95,babolat,"azul, rojo",medio,medium eva,fibra de vidrio,No data,avanzado,No data,rugosa,polivalente,hombre
SIUX EVOQUE 3 AIR,74.95,siux,"negro, rosa",medio,soft eva,No data,blanda,principiante,No data,lisa,polivalente,mujer
HEAD ULTIMATE POWER II WITH CB NARANJA,74.95,head,"negro, amarillo, naranja",medio,medium eva,No data,No data,avanzado,No data,lisa,polivalente,hombre
BLACK CROWN PITON 9.0,94.95,black crown,"negro, plateado",medio,medium eva,No data,No data,avanzado,redonda,lisa,No data,mixta
NOX SILHOUTTE CASUAL SERIES 23,72.95,nox,"negro, fucsia",bajo,medium eva,fibra de vidrio,No data,principiante,redonda,lisa,potencia,mujer
BULLPADEL VERTEX 04 W,149.95,bullpadel,blanco,alto,medium eva,No data,media,pro,diamante,rugosa,polivalente,mujer
WILSON BELA ELITE V2 ROJO,152.95,wilson,rojo,alto,soft eva,No data,No data,avanzado,diamante,rugosa,potencia,mixta
WILSON CUPRA PADEL V2 2,189.95,wilson,negro,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,mixta
DUNLOP IMPACT PRO HL YELLOW,59.95,dunlop,"negro, amarillo, azul",medio,medium eva,fibra de vidrio,No data,avanzado,No data,lisa,No data,mixta
DUNLOP SKIN CONTROL SOFT,59.95,dunlop,"negro, rosa",medio,soft eva,No data,No data,principiante,lágrima,lisa,No data,mixta
BABOLAT COUNTER VERTUO 2023,127.95,babolat,"negro, amarillo",bajo,medium eva,fibra de vidrio,No data,principiante,No data,rugosa,control,hombre
NOX AT10 GENIUS ULTRALIGHT 23,64.95,nox,"negro, blanco, verde",medio,medium eva,fibra de vidrio,No data,avanzado,lágrima,lisa,polivalente,mixta
HEAD ULTIMATE POWER GREEN WITH CB,69.95,head,"negro, verde",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,polivalente,hombre
PALA SIUX TRILOGY II CONTROL PATTY PRO,115.0,siux,"negro, verde",bajo,medium eva,No data,No data,pro,redonda,lisa,control,mujer
BULLPADEL INDIGA PWR 2024,51.95,bullpadel,"blanco, rojo",alto,soft eva,fibra de vidrio,blanda,principiante,diamante,lisa,potencia,mixta
BULLPADEL HACK 02,129.95,bullpadel,"negro, verde",alto,medium eva,No data,dura,avanzado,diamante,lisa,potencia,hombre
BLACK CROWN PITON,104.95,black crown,"negro, gold",bajo,medium eva,No data,No data,avanzado,redonda,lisa,No data,mixta
WILSON ULTRA PRO V2,108.95,wilson,"negro, azul",alto,hard eva,No data,No data,avanzado,diamante,rugosa,No data,hombre
BABOLAT TECHNICAL VERTUO 2023,127.95,babolat,"amarillo, rojo",alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
HEAD ULTIMATE POWER II WITH CB AMARILLO VERDE,74.95,head,"negro, amarillo, verde",medio,medium eva,No data,No data,avanzado,No data,lisa,polivalente,hombre
BULLPADEL FLOW LIGHT MUJER 2024,69.95,bullpadel,"naranja, azul",bajo,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,control,mujer
NOX X-ONE EVO RED,64.95,nox,"negro, rojo",medio,medium eva,fibra de vidrio,media,principiante,redonda,lisa,polivalente,mixta
DUNLOP SKIN ATTACK SOFT,59.95,dunlop,"negro, amarillo, gris",alto,soft eva,No data,No data,principiante,diamante,lisa,No data,mixta
BULLPADEL VERTEX 04 HYBRID,194.95,bullpadel,"negro, rojo",bajo,medium eva,No data,media,pro,No data,rugosa,control,hombre
SIUX RAVEN 18K CONTROL,114.95,siux,"negro, azul",medio,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
DUNLOP IMPACT HL RED,49.95,dunlop,"negro, rojo",medio,soft eva,fibra de vidrio,No data,principiante,lágrima,lisa,No data,mixta
BLACK CROWN PITON 2.0,99.95,black crown,"negro, plateado",bajo,hard eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
NOX ML10 PRO CUP SILVER 2023,129.95,nox,"blanco, plateado, rosa",bajo,medium eva,fibra de vidrio,No data,pro,redonda,lisa,control,mujer
BULLPADEL INDIGA CTR 2024,49.95,bullpadel,"negro, verde",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,control,mixta
HEAD GRAPHENE TOUCH EXPLOSION,94.95,head,"negro, amarillo, rojo",medio,medium eva,No data,No data,avanzado,lágrima,lisa,polivalente,hombre
SIUX DIABLO REVOLUTION PRO 3,295.0,siux,"negro, rojo",medio,medium eva,No data,media,avanzado,No data,rugosa,polivalente,hombre
DUNLOP IMPACT PRO HL GREEN,59.95,dunlop,"negro, azul, verde",medio,medium eva,fibra de vidrio,No data,avanzado,No data,lisa,No data,mixta
BABOLAT TECHNICAL VERTUO JUAN LEBRON 2024,159.95,bullpadel,rojo,alto,medium eva,mix,media,avanzado,diamante,rugosa,potencia,hombre
BULLPADEL IONIC POWER 24,122.95,babolat,"negro, blanco, rojo",alto,medium eva,No data,media,pro,diamante,rugosa,potencia,hombre
BULLPADEL BRAVE 3.0,74.95,bullpadel,"amarillo, gris",medio,soft eva,fibra de vidrio,No data,principiante,lágrima,lisa,No data,mixta
ADIDAS METALBONE HRD+ 2024,350.95,adidas,"negro, blanco",alto,hard eva,No data,dura,avanzado,diamante,No data,potencia,hombre
RS RIALTO PRO CAYETANO ROCAFORT,305.95,No data,negro,medio,medium eva,No data,blanda,avanzado,lágrima,rugosa,polivalente,hombre
SIUX SX7 AIR,59.95,siux,"negro, morado",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,No data,mujer
ADIDAS CROSS IT 2024,225.95,adidas,naranja,alto,hard eva,No data,dura,pro,diamante,rugosa,potencia,hombre
HEAD GRAPHENE XT MASTER LTD WITH CB,179.95,head,"negro, blanco",bajo,foam,No data,media,avanzado,redonda,rugosa,control,mixta
ADIDAS ADIPOWER LEGEND 2024,186.95,adidas,No data,alto,soft eva,No data,blanda,avanzado,diamante,rugosa,potencia,hombre
SIUX IMPACT,79.95,siux,"negro, azul",medio,soft eva,No data,No data,principiante,redonda,rugosa,No data,mixta
NOX ML10 PRO CUP SURVIVOR,113.95,nox,"negro, verde",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
NOX ML10 PRO CUP 3K LUXURY SERIES 2024,168.95,nox,"negro, blanco, rojo",medio,medium eva,No data,media,avanzado,redonda,rugosa,control,hombre
SOFTEE BASICA INICIACION,4.95,softee,amarillo,medio,No data,No data,No data,principiante,No data,lisa,No data,mixta
WILSON BELA PRO V2,217.95,wilson,rojo,medio,medium eva,No data,No data,avanzado,diamante,rugosa,polivalente,mixta
BULLPADEL HACK 03 COMFORT 24,145.99,bullpadel,negro,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,mixta
HEAD ALPHA JUNIOR SANYO,52.95,head,"negro, blanco",medio,foam,No data,No data,principiante,lágrima,lisa,No data,mixta
SIUX PEGASUS GRAFENO 1K,149.95,siux,"negro, gris",No data,soft eva,No data,blanda,avanzado,lágrima,lisa,polivalente,hombre
SIUX SNAKE WOMAN,99.95,siux,"negro, blanco",medio,soft eva,fibra de vidrio,No data,avanzado,No data,lisa,No data,mujer
BLACK CROWN HURRICANE PRO 2.0 2023,181.95,black crown,"gris, rosa",alto,soft eva,No data,No data,avanzado,redonda,lisa,potencia,mujer
VIBOR-A LIQUID YARARA,129.95,vibor-a,"negro, gold",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BABOLAT CONTACT 2022,71.95,babolat,"azul, rojo",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,polivalente,mixta
WILSON BLADE TEAM V2,39.95,wilson,"negro, verde",medio,soft eva,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
DUNLOP TITAN 2.0 PINK,89.95,dunlop,No data,medio,No data,fibra de vidrio,media,avanzado,No data,lisa,polivalente,mujer
ADIDAS METALBONE TEAM LIGHT 3.3 2024,169.95,adidas,"negro, azul",bajo,medium eva,fibra de vidrio,blanda,avanzado,redonda,rugosa,control,hombre
ADIDAS ADIPOWER CTRL TEAM 3.3,109.95,adidas,naranja,bajo,soft eva,fibra de vidrio,media,avanzado,redonda,lisa,control,hombre
SIUX RAVEN 3K HYBRID,99.95,siux,"negro, verde",medio,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
HEAD EXTREME PRO ARTURO COELLO 2024,320.0,head,No data,alto,foam,mix,media,avanzado,diamante,rugosa,potencia,hombre
BLACK CROWN PITON ATTACK 16K 2023,129.95,black crown,"negro, naranja",alto,soft eva,No data,media,avanzado,lágrima,rugosa,potencia,hombre
ENEBE MASSIVE 21,84.95,enebe,"negro, rojo",alto,medium eva,No data,No data,avanzado,diamante,lisa,No data,mixta
HEAD RADICAL MOTION 2024,164.95,head,rojo,medio,No data,No data,No data,avanzado,lágrima,No data,polivalente,hombre
VARLION LW HEXAGON 8.8 WOMAN,52.95,varlion,"negro, rosa",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,mujer
ADIDAS DRIVE LIGHT 3.3,59.95,adidas,"negro, blanco, azul",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,mujer
DUNLOP INFINITY PRO G1 HL BLACK,94.95,dunlop,negro,medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
VARLION LW CARBON TI,65.95,varlion,"negro, morado",bajo,soft eva,mix,No data,avanzado,redonda,rugosa,No data,mixta
HEAD GRAVITY ELITE 2022,89.95,head,"gris, morado",bajo,foam,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
VIBOR-A SERPENT ADVANCE 2022,75.95,vibor-a,"negro, verde",medio,soft eva,fibra de vidrio,No data,avanzado,lágrima,rugosa,No data,mixta
ENEBE MASSIVE 22,103.95,enebe,"negro, rojo",alto,soft eva,No data,No data,avanzado,diamante,lisa,No data,mixta
RS PADEL PRIME EDITION 2.0 BLANCO MUJER,188.95,No data,"blanco, gold",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mujer
HEAD FLASH PRO,125.95,head,No data,medio,soft eva,fibra de vidrio,blanda,avanzado,lágrima,lisa,polivalente,hombre
KOMBAT MM3 PRO 2024,125.0,No data,blanco,medio,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
BULLPADEL HACK 03 2023,159.95,bullpadel,"negro, plateado",alto,medium eva,No data,No data,avanzado,diamante,lisa,potencia,mixta
BABOLAT TECHNICAL VIPER LEBRON 2023,159.95,babolat,"negro, azul, rojo",alto,medium eva,No data,dura,pro,diamante,rugosa,potencia,hombre
NOX AT10 GENIUS 12K BY AGUSTIN TAPIA 23,179.95,nox,"negro, verde",alto,medium eva,No data,No data,avanzado,lágrima,rugosa,polivalente,mixta
BULLPADEL VERTEX 03 2023,169.95,bullpadel,"negro, gold, naranja",alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,mixta
SIUX DIABLO REVOLUTION II SANYO PRO RACKET,159.95,siux,"blanco, gris",medio,soft eva,No data,media,pro,No data,lisa,polivalente,hombre
BABOLAT AIR VIPER 2022,148.95,babolat,"negro, blanco, azul",medio,medium eva,No data,No data,pro,lágrima,rugosa,No data,hombre
PACK PALA BULLPADEL VERTEX 2 LTD MUJER,110.95,bullpadel,No data,medio,medium eva,No data,media,avanzado,diamante,rugosa,potencia,mujer
BULLPADEL VERTEX 03 CTR 2023,155.95,bullpadel,"negro, amarillo",bajo,medium eva,No data,No data,avanzado,redonda,rugosa,control,mixta
NOX AT10 GENIUS 18K AGUSTIN TAPIA 2024,209.95,nox,blanco,medio,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,mixta
BABOLAT TECHNICAL VERON 2023,125.95,babolat,"negro, rojo",alto,medium eva,mix,media,avanzado,diamante,rugosa,potencia,mixta
HEAD GRAPHENE 360 DELTA GOLD,89.95,head,"negro, gold",alto,foam,fibra de vidrio,No data,avanzado,diamante,lisa,No data,mixta
BULLPADEL VERTEX 03 W MUJER 2023,109.95,bullpadel,"blanco, azul, rosa",alto,medium eva,mix,No data,avanzado,diamante,rugosa,potencia,mujer
PALA SIUX DIABLO REVOLUTION II AIR,129.95,siux,"negro, blanco, gris",medio,medium eva,No data,media,pro,No data,lisa,polivalente,hombre
BABOLAT COUNTER VERON 2023,118.95,babolat,"negro, amarillo",medio,medium eva,mix,No data,avanzado,redonda,rugosa,polivalente,mixta
NOX ML10 PRO CUP COORP 23,104.95,nox,"blanco, gold",medio,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,polivalente,mixta
BABOLAT TECHNICAL VIPER 2023,148.95,babolat,"negro, rojo",alto,medium eva,No data,media,pro,diamante,rugosa,potencia,hombre
PALA SIUX FENIX II 3K,89.95,siux,"negro, naranja",medio,medium eva,No data,No data,avanzado,No data,rugosa,polivalente,hombre
DUNLOP SONIC,179.95,dunlop,"negro, amarillo",medio,soft eva,No data,No data,principiante,lágrima,lisa,No data,mixta
SIUX DIABLO REVOLUTION II,129.95,siux,"negro, blanco, plateado",alto,medium eva,No data,dura,pro,No data,rugosa,polivalente,hombre
PALA SIUX TRILOGY 3 ATTACK,99.0,siux,"negro, azul",alto,soft eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
NOX MM2 PRO BY MANU MARTIN,107.95,nox,"negro, rojo",No data,hard eva,No data,No data,pro,No data,rugosa,polivalente,hombre
DROP SHOT INDIGO LTD,106.95,drop shot,"negro, azul",medio,medium eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
SIUX ASTRA 3.0 HYBRID,59.95,siux,"negro, amarillo, verde",medio,soft eva,No data,No data,principiante,No data,rugosa,polivalente,hombre
BLACK CROWN PITON NAKANO 15K,108.95,black crown,No data,bajo,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
STARVIE METHEORA DUAL 2024,169.0,No data,amarillo,alto,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
STARVIE BASALTO PRO 2024,156.0,No data,"negro, azul",bajo,No data,No data,media,avanzado,redonda,rugosa,control,hombre
BULLPADEL VERTEX 04 COMFORT,142.95,bullpadel,negro,alto,medium eva,No data,media,pro,diamante,rugosa,potencia,hombre
SIUX DIABLO REVOLUTION LITE 3,229.0,siux,"negro, rojo",medio,medium eva,No data,media,avanzado,No data,No data,polivalente,hombre
SOFTEE SPEED ORANGE POWER,113.95,softee,"negro, naranja",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
ADIDAS DRIVE 3.3 VINTAGE,63.95,adidas,"blanco, marrón",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,hombre
SOFTEE PRO MASTER EVOLUTION FUCSIA,49.95,softee,"negro, fucsia",medio,soft eva,fibra de vidrio,No data,principiante,No data,lisa,polivalente,mixta
DUNLOP RAPID CONTROL 4.0,62.95,dunlop,"negro, marrón",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,mixta
DUNLOP TITAN PRO ORANGE 2024,94.95,dunlop,naranja,medio,No data,fibra de vidrio,media,avanzado,No data,lisa,polivalente,hombre
VIBOR-A BLACK MAMBA,159.95,vibor-a,negro,medio,soft eva,fibra de vidrio,media,principiante,lágrima,rugosa,polivalente,mixta
ADIDAS ADIPOWER MULTIWEIGHT CTRL 3.3,256.95,adidas,negro,bajo,hard eva,No data,dura,avanzado,redonda,rugosa,control,hombre
ENEBE AEROX CARBON 22,105.95,enebe,"negro, azul",medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
MYSTICA LEGACY CONTROL PINK 2024,50.95,No data,"negro, rosa",bajo,medium eva,fibra de vidrio,media,principiante,redonda,lisa,control,mixta
ADIDAS MATCH LIGHT 3.3 2024,49.95,adidas,blanco,alto,soft eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,mixta
VARLION BOURNE PRISMA RADIO W AZUL 2023,229.95,varlion,"negro, azul",alto,foam,No data,No data,pro,diamante,rugosa,potencia,mixta
RS RIALTO PRO 95081,189.95,No data,No data,medio,soft eva,No data,No data,pro,lágrima,rugosa,polivalente,hombre
ADIDAS ADIPOWER CTRL MTW PRO EDT BY ÁLEX RUIZ,305.95,adidas,"blanco, rojo",alto,No data,No data,media,pro,redonda,rugosa,control,hombre
BLACK CROWN SNAKE 2022,103.95,black crown,"negro, verde",medio,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
VARLION LW SUMMUM PRISMA S,188.95,varlion,"negro, gris, azul",bajo,hard eva,No data,No data,avanzado,redonda,rugosa,No data,hombre
HARLEM COREX 18K,95.95,No data,"negro, amarillo, azul",No data,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
VIBOR-A BLACK MAMBA RADICAL 12K 2024,279.95,vibor-a,negro,medio,medium eva,No data,media,pro,lágrima,rugosa,potencia,hombre
DUNLOP TITAN PRO WHITE 2024,94.95,dunlop,negro,medio,No data,fibra de vidrio,media,avanzado,No data,lisa,polivalente,hombre
VIBOR-A TITAN 2024,359.95,vibor-a,No data,medio,medium eva,No data,media,avanzado,No data,rugosa,polivalente,hombre
SIUX BLACK CARBON REVOLUTION 2 2023,94.95,siux,"negro, rojo",bajo,hard eva,No data,dura,avanzado,redonda,lisa,control,hombre
BLACK CROWN PITON LIMITED,207.95,black crown,"negro, gold",No data,medium eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
NOX AT PRO CUP COORP 2024,118.95,nox,blanco,medio,hard eva,fibra de vidrio,media,pro,lágrima,lisa,polivalente,mixta
WILSON CARBON FORCE PRO GOLD LTD,192.95,wilson,"negro, gold",bajo,soft eva,No data,No data,avanzado,redonda,rugosa,control,mixta
BULLPADEL ELITE W 24,180.95,bullpadel,"negro, blanco",medio,medium eva,No data,media,avanzado,lágrima,lisa,polivalente,mujer
NOX ML10 BAHIA 12K LUXURY SERIES 2024,168.95,nox,"negro, gris, rojo",alto,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
DUNLOP INFINITY PRO G1 HL SILVER,94.95,bullpadel,"negro, blanco",medio,medium eva,No data,media,avanzado,No data,lisa,polivalente,hombre
BULLPADEL NEURON,172.95,dunlop,"negro, plateado",medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
BLACK CROWN PITON 9.0 SOFT,118.95,black crown,"negro, azul",medio,soft eva,No data,No data,avanzado,redonda,lisa,No data,mujer
